ticker,timestamp,open,high,low,close,volume,bu,sd,fb,fs,fn
HSG,2025-07-25 00:00,18750.0,19050.0,18600.0,18650.0,12591851.0,5667600.0,6204600.0,24409990000.0,12836596100.0,11573393900.0
HSG,2025-07-28 00:00,18950.0,19550.0,18700.0,19350.0,21600661.0,13230200.0,7826000.0,31442030000.0,47624160000.0,-16182130000.0
HSG,2025-07-29 00:00,19600.0,19650.0,18000.0,18000.0,23021289.0,7216400.0,13697300.0,42603245000.0,38968495900.0,3634749100.0
HSG,2025-07-30 00:00,18350.0,18900.0,18000.0,18900.0,19061802.0,10098600.0,8019600.0,83868165000.0,11302011300.0,72566153700.0
HSG,2025-07-31 00:00,19000.0,19250.0,18600.0,18650.0,11236884.0,5260500.0,5523300.0,11399860000.0,22243732800.0,-10843872800.0
HSG,2025-08-01 00:00,18650.0,18950.0,18200.0,18500.0,7782452.0,2727300.0,4502000.0,11126800000.0,23661862200.0,-12535062200.0
HSG,2025-08-04 00:00,18250.0,18650.0,18100.0,18550.0,5261530.0,1728600.0,3003500.0,661030000.0,19187060000.0,-18526030000.0
HSG,2025-08-05 00:00,18700.0,19350.0,18300.0,18600.0,28432592.0,14867100.0,12693600.0,19997490000.0,40509464300.0,-20511974300.0
HSG,2025-08-06 00:00,19000.0,19350.0,18850.0,18950.0,10495886.0,5146500.0,4794900.0,27698849600.0,4248235000.0,23450614600.0
HSG,2025-08-07 00:00,19000.0,19600.0,18900.0,19600.0,19372652.0,13056500.0,5660100.0,23426685000.0,2856640000.0,20570045000.0
HSG,2025-08-08 00:00,19800.0,19850.0,19200.0,19500.0,13679739.0,4560400.0,8375400.0,14309535000.0,15339140000.0,-1029605000.0
HSG,2025-08-11 00:00,19850.0,19900.0,19450.0,19750.0,14857761.0,6692700.0,6713800.0,9114640000.0,16888285000.0,-7773645000.0
HSG,2025-08-12 00:00,19900.0,20350.0,19700.0,19850.0,17645907.0,8685900.0,8213700.0,17331605000.0,36160229000.0,-18828624000.0
HSG,2025-08-13 00:00,20000.0,20000.0,19300.0,19700.0,14647570.0,4242200.0,9057000.0,5313951000.0,6540020000.0,-1226069000.0
HSG,2025-08-14 00:00,19750.0,19800.0,19400.0,19450.0,10541404.0,3991600.0,5779600.0,4567020000.0,6948380600.0,-2381360600.0
HSG,2025-08-15 00:00,19550.0,20100.0,19300.0,19450.0,14133130.0,6305400.0,7453900.0,24278398000.0,14595771800.0,9682626200.0
HSG,2025-08-18 00:00,20000.0,20200.0,19650.0,19750.0,12268914.0,6096200.0,5470000.0,25074845000.0,5452318100.0,19622526900.0
HSG,2025-08-19 00:00,19800.0,19900.0,19500.0,19600.0,9551399.0,4280900.0,4595500.0,15203344500.0,5083485000.0,10119859500.0
HSG,2025-08-20 00:00,19600.0,19650.0,18300.0,18850.0,19346694.0,5637300.0,13084000.0,16690649000.0,21565451000.0,-4874802000.0
HSG,2025-08-21 00:00,18900.0,18950.0,18350.0,18800.0,10665818.0,3220900.0,6780700.0,14967920000.0,21077942500.0,-6110022500.0
HSG,2025-08-22 00:00,18600.0,18700.0,18100.0,18400.0,12269593.0,3555900.0,8341500.0,4609872500.0,5948625400.0,-1338752900.0
HSG,2025-08-25 00:00,18550.0,18650.0,17900.0,18000.0,8298275.0,2566000.0,5026400.0,10757895000.0,6689927050.0,4067967950.0
HSG,2025-08-26 00:00,18000.0,18500.0,18000.0,18450.0,5790390.0,2730700.0,2676400.0,7561930000.0,5530165000.0,2031765000.0
HSG,2025-08-27 00:00,18800.0,18800.0,18300.0,18300.0,5998513.0,2074000.0,3214000.0,2631235000.0,18707190000.0,-16075955000.0
HSG,2025-08-28 00:00,18450.0,18700.0,18300.0,18350.0,4217806.0,1613000.0,2309700.0,7510978550.0,6613239600.0,897738950.0
HSG,2025-08-29 00:00,18350.0,18800.0,18300.0,18350.0,8396391.0,4123500.0,3936000.0,12265335000.0,6062077250.0,6203257750.0
HSL,2025-07-21 00:00,6100.0,6130.0,5980.0,6000.0,128594.0,42200.0,74200.0,4832000.0,60168000.0,-55336000.0
HSL,2025-07-22 00:00,5950.0,6000.0,5800.0,5970.0,147299.0,32300.0,84500.0,0.0,0.0,0.0
HSL,2025-07-23 00:00,6070.0,6380.0,5700.0,6380.0,679612.0,356100.0,286100.0,0.0,5742000.0,-5742000.0
HSL,2025-07-24 00:00,6650.0,6820.0,6500.0,6820.0,733932.0,414200.0,305300.0,0.0,0.0,0.0
HSL,2025-07-25 00:00,6990.0,7290.0,6990.0,7290.0,682437.0,436600.0,186700.0,0.0,654360.0,-654360.0
HSL,2025-07-28 00:00,7300.0,7800.0,7300.0,7800.0,708233.0,373700.0,232200.0,0.0,76900000.0,-76900000.0
HSL,2025-07-29 00:00,8040.0,8300.0,7270.0,8200.0,981255.0,394900.0,482600.0,155332000.0,92300000.0,63032000.0
HSL,2025-07-30 00:00,8300.0,8430.0,8000.0,8420.0,393942.0,195700.0,135900.0,0.0,892900.0,-892900.0
HSL,2025-07-31 00:00,8050.0,8800.0,8050.0,8800.0,373860.0,224400.0,82700.0,0.0,0.0,0.0
HSL,2025-08-01 00:00,8500.0,9000.0,8380.0,9000.0,946777.0,336100.0,503000.0,0.0,221686000.0,-221686000.0
HSL,2025-08-04 00:00,9000.0,9400.0,8550.0,9370.0,689565.0,288500.0,213500.0,9915000.0,24710000.0,-14795000.0
HSL,2025-08-05 00:00,9370.0,10000.0,9000.0,10000.0,1081497.0,652400.0,358400.0,60947000.0,159475000.0,-98528000.0
HSL,2025-08-06 00:00,10200.0,10700.0,9500.0,10700.0,879346.0,445200.0,380300.0,276410000.0,185915000.0,90495000.0
HSL,2025-08-07 00:00,11200.0,11300.0,10500.0,10600.0,427669.0,179700.0,194900.0,0.0,12155000.0,-12155000.0
HSL,2025-08-08 00:00,10300.0,10700.0,10300.0,10700.0,405455.0,188300.0,192700.0,11575000.0,69215750.0,-57640750.0
HSL,2025-08-11 00:00,10750.0,11350.0,10650.0,11200.0,386360.0,256300.0,123300.0,425650000.0,212126800.0,213523200.0
HSL,2025-08-12 00:00,11400.0,11450.0,11200.0,11400.0,240083.0,62600.0,163700.0,207575000.0,22710000.0,184865000.0
HSL,2025-08-13 00:00,11500.0,12000.0,11000.0,12000.0,525158.0,398400.0,107600.0,81085000.0,18190000.0,62895000.0
HSL,2025-08-14 00:00,12300.0,12500.0,11850.0,11850.0,1130840.0,700300.0,356500.0,75910000.0,289520000.0,-213610000.0
HSL,2025-08-15 00:00,11800.0,12550.0,11800.0,12550.0,1418682.0,1241200.0,137500.0,352960000.0,86225000.0,266735000.0
HSL,2025-08-18 00:00,12550.0,13400.0,12550.0,13400.0,1041969.0,544100.0,229200.0,309005000.0,171146400.0,137858600.0
HSL,2025-08-19 00:00,13200.0,14000.0,12950.0,13800.0,744301.0,272800.0,393400.0,72410000.0,123580000.0,-51170000.0
HSL,2025-08-20 00:00,13500.0,13800.0,13200.0,13700.0,299453.0,68600.0,187100.0,100070000.0,235630000.0,-135560000.0
HSL,2025-08-21 00:00,13700.0,14000.0,12950.0,13700.0,1640134.0,1003900.0,597500.0,424635000.0,565255000.0,-140620000.0
HSL,2025-08-22 00:00,13400.0,13750.0,12800.0,13150.0,311466.0,37100.0,207200.0,50640000.0,157780000.0,-107140000.0
HSL,2025-08-25 00:00,13000.0,13050.0,12250.0,13000.0,1127920.0,691100.0,284200.0,366955000.0,202695000.0,164260000.0
HSL,2025-08-26 00:00,13000.0,13150.0,12300.0,13100.0,651875.0,527200.0,87800.0,226095000.0,38550000.0,187545000.0
HSL,2025-08-27 00:00,12550.0,13100.0,12550.0,12900.0,511682.0,201400.0,204700.0,851025000.0,80350000.0,770675000.0
HSL,2025-08-28 00:00,12800.0,13800.0,12400.0,13800.0,1236274.0,625900.0,549600.0,1647640000.0,260070000.0,1387570000.0
HSL,2025-08-29 00:00,13550.0,14750.0,13550.0,14750.0,1407296.0,1164400.0,207900.0,2128320000.0,50565000.0,2077755000.0
HT1,2025-07-21 00:00,13600.0,13750.0,13450.0,13750.0,2387183.0,1010500.0,1114200.0,2036630000.0,10840000.0,2025790000.0
HT1,2025-07-22 00:00,13900.0,14350.0,13750.0,14150.0,1731745.0,1085300.0,541800.0,3535530000.0,862555000.0,2672975000.0
HT1,2025-07-23 00:00,14300.0,14300.0,13850.0,13850.0,1264329.0,423200.0,798100.0,272180000.0,67680000.0,204500000.0
HT1,2025-07-24 00:00,14250.0,14250.0,13750.0,14000.0,1248274.0,365300.0,829900.0,1390000.0,232650000.0,-231260000.0
